Data,Balanço de pagamentos - balança comercial - saldo - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_BC12,
1995.01,-398.728132,
1995.02,-1151.625706,
1995.03,-1019.483914,
1995.04,-565.690024,
1995.05,-781.699264999999,
1995.06,-871.473099000001,
1995.07,-110.144517,
1995.08,3.05016200000046,
1995.09,389.518788,
1995.10,241.510811,
1995.11,-160.868648000001,
1995.12,-145.325741,
1996.01,-50.2534949999999,
1996.02,-108.877775,
1996.03,-540.192739,
1996.04,119.712245000001,
1996.05,153.643235,
1996.06,-422.355499,
1996.07,-443.380204,
1996.08,-366.054334999999,
1996.09,-712.126386000001,
1996.10,-1403.159275,
1996.11,-931.154789999999,
1996.12,-1931.954395,
1997.01,1075.801907,
1997.02,-1191.94486,
1997.03,-989.997030000001,
1997.04,-1012.403519,
1997.05,-185.013701,
1997.06,-483.100401,
1997.07,-652.693072,
1997.08,-402.598034,
1997.09,-945.637583999999,
1997.10,-938.124080999999,
1997.11,-1380.682975,
1997.12,-871.608761,
1998.01,-818.778159000001,
1998.02,-320.891453999999,
1998.03,-988.573686,
1998.04,-150.934434000001,
1998.05,-222.154815,
1998.06,97.0705719999996,
1998.07,-517.467377,
1998.08,-266.515914999999,
1998.09,-1315.832749,
1998.10,-1545.513537,
1998.11,-1118.601414,
1998.12,-564.947105000001,
1999.01,-801.968697999999,
1999.02,21.9929090000005,
1999.03,-333.774208999999,
1999.04,-68.8171389999998,
1999.05,213.592039,
1999.06,-231.289878999999,
1999.07,4.96610300000066,
1999.08,-272.099683,
1999.09,-30.7823070000013,
1999.10,-206.653684,
1999.11,-567.666973,
1999.12,157.122830000001,
2000.01,-171.826118,
2000.02,48.8254029999998,
2000.03,-80.2274320000006,
2000.04,99.0201940000011,
2000.05,300.971466000002,
2000.06,161.75661,
2000.07,99.9843210000008,
2000.08,24.066197000001,
2000.09,-432.172245,
2000.10,-640.754723000002,
2000.11,-752.295077999999,
2000.12,-280.011954999998,
2001.01,-576.471,
2001.02,-27.3570220000001,
2001.03,-369.436710000001,
2001.04,32.9172260000005,
